2025-10-27 14:06:43 | Resultado: ⚠️ Tipo o tamaño de imagen no permitido (máx. 2 MB). | Archivo: default.webp | Tipo: image/png | Tamaño: 2331242 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-10-27 14:11:22 | Resultado: ✅ Imagen cargada correctamente (pendiente de aprobación). | Archivo: serv_68ffa7b9e64b2.webp | Tipo: image/png | Tamaño: 2331242 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-10-27 14:33:11 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_68ffacd71f98c.webp | Tipo: image/png | Tamaño: 2331242 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-10-27 15:15:47 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_68ffb6d398bd0.webp | Tipo: image/png | Tamaño: 1190932 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-10-28 20:18:50 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_69014f5a48693.webp | Tipo: image/png | Tamaño: 1608911 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-04 19:56:05 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_690a84856ad9b.webp | Tipo: image/png | Tamaño: 2235518 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-07 12:12:06 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-07 13:41:49 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_690e214cdcf16.webp | Tipo: image/png | Tamaño: 1135188 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-07 22:53:52 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-09 16:41:51 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_6910ee7fb0dae.webp | Tipo: image/png | Tamaño: 973047 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-12 09:30:22 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-12 09:35:58 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-12 09:42:15 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-13 13:53:41 | Resultado: ✅ Imagen ajustada y cargada correctamente (1200×800, pendiente de aprobación). | Archivo: serv_69160d157c0bd.webp | Tipo: image/png | Tamaño: 350025 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-15 17:36:36 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo: n/a | Tamaño: 0 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-18 11:42:23 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-18 11:45:01 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo:  | Tamaño:  bytes | Dir: 
2025-11-19 17:38:37 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo: n/a | Tamaño: 0 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-26 09:41:28 | Resultado: ℹ️ No se adjuntó imagen. Se usará la imagen por defecto. | Archivo: default.webp | Tipo: n/a | Tamaño: 0 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
2025-11-26 11:15:47 | Resultado: ✅ Imagen ajustada correctamente. | Archivo: serv_69270b9331ae9.webp | Tipo: image/png | Tamaño: 6028162 bytes | Dir: /home/u516405553/domains/nubira.cl/public_html/app/../upload/servicios/
